Project ID,Name,Borough,Address,Block & Lot,Project Class
"21TMP0279K, 21EHAN062K, 21TMP1463K (MERGED), 21TMP1465K (MERGED), 21TMP1467K (MERGED), 22CVCP043K",1775 CONEY ISLAND AVENUE,Brooklyn,1775 CONEY ISLAND AVENUE,"Block: 6749, Lot:78",Active (A)
"20TMP1456K, 20EHAN288K, 22TMP1279K (MERGED)",1640 Flatbush Avenue,Brooklyn,1640 FLATBUSH AVENUE,"Block: 7577, Lot:60",Active (A)
"20TMP1439K, 20EH-N286K",829 Atlantic Avenue - Former Coin Building,Brooklyn,829 ATLANTIC AVENUE,"Block: 2011, Lot:60 ...",Active (A)
"20TMP1392K, 22EHAN232K, 22CVCP082K",6 Howard Avenue,Brooklyn,6 HOWARD AVENUE,"Block: 1481, Lot:35",Active (A)
"20TMP1334K, 20EH-A268K, 21CVCP017K",29 Jay Street,Brooklyn,29 Jay Street,"Block: 20, Lot:1",Active (A)
"20TMP1262K, 21CVCP030K",117 Glenmore Avenue,Brooklyn,117 GLENMORE AVENUE,"Block: 3692, Lot:1 ...",Active (A)
"20TMP1260K, 21EH-N029K",1607 SURF AVENUE,Brooklyn,1607 SURF AVENUE,"Block: 7062, Lot:25 ...",Active (A)
"20TMP0986K, 20EH-N203K, 20CVCP076K",156-158 Somers Street,Brooklyn,156 - 158 SOMERS STREET,"Block: 1544, Lot:15 ...",Active (A)
"20TMP0836K, 20EH-N258K",2795 Fulton Street,Brooklyn,2795 Fulton Street,"Block: 3933, Lot:55",Active (A)
"20TMP0758K, 20EHAZ162K, 20CVCP061K",494 Manhattan Avenue,Brooklyn,494 MANHATTAN AVENUE,"Block: 2713, Lot:1",Completed (C)
"20TMP0640K, 20EHAZ185K, 20CVCP054K",130 North 6th Street,Brooklyn,126 North 6th Street,"Block: 2335, Lot:6 ...",Completed (C)
"20TMP0628K, 20EHAZ146K, 20CVCP063K",175 McGuinness Boulevard,Brooklyn,175 MCGUINNESS BOULEVARD,"Block: 2599, Lot:23 ...",Active (A)
"20TMP0583K, 20EH-N133K, 22CVCP019K",2602 Pitkin Avenue,Brooklyn,2602 PITKIN AVENUE,"Block: 4228, Lot:13",Active (A)
"20TMP0526K, 20CVCP040K, 22EH-N183K",487 4th Avenue,Brooklyn,487 4TH AVENUE,"Block: 1028, Lot:7",Active (A)
"20TMP0426K, 20EHAZ100K, 20CVCP035K",411 Meeker Avenue,Brooklyn,411 MEEKER AVENUE,"Block: 2724, Lot:1 ...",Completed (C)
"20TMP0361K, 20ENOS088K",121 NORTH 1 STREET,Brooklyn,121 NORTH 1 STREET,"Block: 2365, Lot:36",Completed (C)
"20TMP0240K, 20EHAN049K, 20CVCP059K, 22TMP1501K (MERGED)",381 Chester Street,Brooklyn,401 CHESTER STREET,"Block: 3589, Lot:21",Active (A)
"20TMP0009K, 20RHAZ004K, 20CVCP011K",20 Luquer Street,Brooklyn,20 LUQUER STREET,"Block: 520, Lot:13 ...",Active (A)
"20TMP0008K, 20EH-A151K, 20CVCP049K",169 LORIMER STREET,Brooklyn,169 LORIMER STREET,"Block: 2242, Lot:45",Completed (C)
