street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,reference,lab
SV 975 Manhattan Ave,SS2,"trans-1,3-Dichloropropene",ND,0.221,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Trichloroethene,ND,4.7E-2,ND,0.25,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Trichlorofluoromethane,0.186,0.17799999999999999,1.04,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Trichlorotrifluoroethane,ND,0.13100000000000001,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,Vinyl Chloride,ND,9.8000000000000004E-2,ND,0.25,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS2,% Bromofluorobenzene,102,%,102,%,NA,KCA,70 - 130 %,phoenix
SV 975 Manhattan Ave,SS1,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,"1,1,1-Trichloroethane",ND,0.183,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,"1,1,2-Trichloroethane",ND,0.183,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,"1,1-Dichloroethane",ND,0.247,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,"1,1-Dichloroethene",ND,0.252,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,"1,2,4-Trimethylbenzene",6.48,0.20399999999999999,31.8,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,"1,2-Dichloroethane",ND,0.247,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,"1,2-dichloropropane",ND,0.217,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,"1,3,5-Trimethylbenzene",1.89,0.20399999999999999,9.2899999999999991,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,"1,3-Dichlorobenzene",0.17599999999999999,0.16600000000000001,1.06,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,2-Hexanone(MBK),ND,0.24399999999999999,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,4-Ethyltoluene,1.59,0.20399999999999999,7.81,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,4-Isopropyltoluene,0.26400000000000001,0.182,1.45,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,4-Methyl-2-pentanone(MIBK),ND,0.24399999999999999,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Acetone,35.299999999999997,S   0.421,83.8,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Acrylonitrile,ND,0.46100000000000002,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Benzene,2.78,0.313,8.8800000000000008,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Benzyl chloride,ND,0.193,ND,1,2015-02-28T05:00:00Z,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Bromodichloromethane,ND,NA,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Bromoform,ND,NA,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Bromomethane,ND,NA,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Carbon Disulfide,ND,NA,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Carbon Tetrachloride,5.6000000000000001E-2,NA,0.35,0.25,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Chlorobenzene,ND,NA,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Chloroethane,ND,NA,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Chloroform,0.42199999999999999,NA,2.06,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Chloromethane,ND,NA,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,"Cis-1,2-Dichloroethene",ND,NA,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,"cis-1,3-Dichloropropene",ND,NA,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Cyclohexane,2.93,NA,10.1,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Dibromochloromethane,ND,NA,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Dichlorodifluoromethane,0.502,NA,2.48,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Ethanol,117     SE,NA,220,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Ethyl acetate,5.41,NA,19.5,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Ethylbenzene,6.42,NA,27.9,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Heptane,4.59,NA,18.8,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Hexachlorobutadiene,ND,NA,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Hexane,3.23       S,NA,11.4,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Isopropylalcohol,17.4       S,NA,42.7,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Isopropylbenzene,0.56999999999999995,NA,2.8,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,"m,p-Xylene",20.6,NA,89.4,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Methyl Ethyl Ketone,0.70299999999999996,NA,2.0699999999999998,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Methyl tert-butyl ether(MTBE),ND,NA,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Methylene Chloride,ND,NA,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,n-Butylbenzene,0.47099999999999997,NA,2.58,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,o-Xylene,8.59,NA,37.299999999999997,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Propylene,ND,NA,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,sec-Butylbenzene,ND,NA,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Styrene,ND,NA,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Tetrachloroethene,4.5,NA,30.5,0.25,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Tetrahydrofuran,ND,NA,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Toluene,23,NA,86.6,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,"Trans-1,2-Dichloroethene",ND,NA,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,"trans-1,3-Dichloropropene",ND,NA,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Trichloroethene,4.92,NA,26.4,0.25,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Trichlorofluoromethane,0.23400000000000001,NA,1.31,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Trichlorotrifluoroethane,ND,NA,ND,1,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,Vinyl Chloride,ND,NA,ND,0.25,NA,KCA,TO15,phoenix
SV 975 Manhattan Ave,SS1,% Bromofluorobenzene,99,NA,99,%,NA,KCA,70 - 130 %,phoenix
