street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,dilution
1458-1460,SV 1,Toluene,1.91,0.26600000000000001,7.19,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,"Trans-1,2-Dichloroethene",ND,0.252,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,"trans-1,3-Dichloropropene",ND,0.221,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Trichloroethene,0.05,3.6999999999999998E-2,0.27,0.2,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Trichlorofluoromethane,0.27600000000000002,0.17799999999999999,1.55,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Trichlorotrifluoroethane,ND,0.13100000000000001,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,Vinyl Chloride,ND,7.8E-2,ND,0.2,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 1,% Bromofluorobenzene,98,%,98,%,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,"1,1,1,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,"1,1,1-Trichloroethane",ND,0.183,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,"1,1,2,2-Tetrachloroethane",ND,0.14599999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,"1,1,2-Trichloroethane",ND,0.183,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,"1,1-Dichloroethane",ND,0.247,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,"1,1-Dichloroethene",ND,5.0999999999999997E-2,ND,0.2,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,"1,2,4-Trichlorobenzene",ND,0.13500000000000001,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,"1,2,4-Trimethylbenzene",1.17,0.20399999999999999,5.75,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,"1,2-Dichloroethane",ND,0.247,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,"1,2-dichloropropane",ND,0.217,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,"1,3,5-Trimethylbenzene",0.33,0.20399999999999999,1.62,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,"1,3-Dichlorobenzene",ND,0.16600000000000001,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,"1,4-Dichlorobenzene",0.45200000000000001,0.16600000000000001,2.72,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,2-Hexanone(MBK),0.96,0.24399999999999999,3.93,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,4-Ethyltoluene,0.97099999999999997,0.20399999999999999,4.7699999999999996,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,4-Isopropyltoluene,ND,0.182,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,4-Methyl-2-pentanone(MIBK),4.1399999999999997,0.24399999999999999,16.899999999999999,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Acetone,40,0.42099999999999999,95,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Acrylonitrile,ND,0.46100000000000002,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Benzene,0.42599999999999999,0.313,1.36,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Benzyl chloride,ND,0.193,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Bromodichloromethane,ND,0.14899999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Bromoform,ND,9.7000000000000003E-2,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Bromomethane,ND,0.25800000000000001,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Carbon Disulfide,1.51,0.32100000000000001,4.7,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Carbon Tetrachloride,0.105,3.2000000000000001E-2,0.66,0.2,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Chlorobenzene,ND,0.217,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Chloroethane,ND,0.379,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Chloroform,2.0299999999999998,0.20499999999999999,9.9,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Chloromethane,ND,0.48499999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,"Cis-1,2-Dichloroethene",ND,5.0999999999999997E-2,ND,0.2,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,"cis-1,3-Dichloropropene",ND,0.221,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Cyclohexane,ND,0.29099999999999998,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Dibromochloromethane,ND,0.11799999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Dichlorodifluoromethane,0.57299999999999995,0.20200000000000001,2.83,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Ethanol,136,E  0.531,256,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Ethyl acetate,3.23,0.27800000000000002,11.6,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Ethylbenzene,0.66100000000000003,0.23,2.87,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Heptane,0.28100000000000003,0.24399999999999999,1.1499999999999999,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Hexachlorobutadiene,ND,9.4E-2,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Hexane,0.45700000000000002,S  0.284,1.61,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Isopropylalcohol,3.04,0.40699999999999997,7.47,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Isopropylbenzene,ND,0.20399999999999999,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,"m,p-Xylene",2.36,0.23,10.199999999999999,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Methyl Ethyl Ketone,9.99,0.33900000000000002,29.4,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Methyl tert-butyl ether(MTBE),ND,0.27800000000000002,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Methylene Chloride,ND,0.86399999999999999,ND,3,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,n-Butylbenzene,ND,0.182,ND,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,o-Xylene,0.99399999999999999,0.23,4.3099999999999996,1,2018-08-06T04:00:00Z,KCA,1
1458-1460,SV 2,Propylene,1.07,0.58099999999999996,1.84,1,2018-08-06T04:00:00Z,KCA,1
