street_address,sample_id,parameter,ppbv_result,ppbv_rl,ug_m3_result,ug_m3_rl,date_time,by,dilution,lab
SV 578 5th Avenue,SV-3,"1,2,4-Trimethylbenzene",0.88400000000000001,0.20399999999999999,4.34,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,"1,2-Dibromoethane(EDB)",ND,0.13,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,"1,2-Dichlorobenzene",ND,0.16600000000000001,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,"1,2-Dichloroethane",ND,0.247,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,"1,2-dichloropropane",ND,0.217,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,"1,2-Dichlorotetrafluoroethane",ND,0.14299999999999999,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,"1,3,5-Trimethylbenzene",ND,0.20399999999999999,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,"1,3-Butadiene",ND,0.45200000000000001,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,"1,3-Dichlorobenzene",2.02,0.16600000000000001,12.1,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,"1,4-Dichlorobenzene",ND,0.16600000000000001,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,"1,4-Dioxane",ND,0.27800000000000002,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,2-Hexanone(MBK),ND,0.24399999999999999,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,4-Ethyltoluene,0.41099999999999998,0.20399999999999999,2.02,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,4-Isopropyltoluene,1.73,0.182,9.49,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,4-Methyl-2-pentanone(MIBK),ND,0.24399999999999999,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Acetone,8.7100000000000009,0.42099999999999999,20.7,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Acrylonitrile,ND,0.46100000000000002,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Benzene,2.93,0.313,9.35,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Benzyl chloride,ND,0.193,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Bromodichloromethane,ND,0.14899999999999999,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Bromoform,ND,9.7000000000000003E-2,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Bromomethane,ND,0.25800000000000001,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Carbon Disulfide,ND,0.32100000000000001,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Carbon Tetrachloride,0.13300000000000001,0.04,0.84,0.25,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Chlorobenzene,0.54100000000000004,0.217,2.4900000000000002,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Chloroethane,ND,0.379,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Chloroform,3.97,0.20499999999999999,19.399999999999999,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Chloromethane,ND,0.48499999999999999,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,"Cis-1,2-Dichloroethene",ND,0.252,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,"cis-1,3-Dichloropropene",ND,0.221,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Cyclohexane,0.29799999999999999,0.29099999999999998,1.03,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Dibromochloromethane,ND,0.11799999999999999,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Dichlorodifluoromethane,1.48,0.20200000000000001,7.31,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Ethanol,98.2,E  0.531,185,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Ethyl acetate,0.28899999999999998,0.27800000000000002,1.04,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Ethylbenzene,3.1,0.23,13.5,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Heptane,ND,0.24399999999999999,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Hexachlorobutadiene,ND,9.4E-2,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Hexane,0.55600000000000005,S  0.284,1.96,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Isopropylalcohol,56.3,E  0.407,138,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Isopropylbenzene,ND,0.20399999999999999,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,"m,p-Xylene",9.7200000000000006,0.23,42.2,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Methyl Ethyl Ketone,2.42,0.33900000000000002,7.13,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Methyl tert-butyl ether(MTBE),ND,0.27800000000000002,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Methylene Chloride,1.8,S  0.288,6.25,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,n-Butylbenzene,ND,0.182,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,o-Xylene,1.76,0.23,7.64,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Propylene,4.42,0.58099999999999996,7.6,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,sec-Butylbenzene,ND,0.182,ND,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Styrene,0.311,0.23499999999999999,1.32,1,2016-09-09T04:00:00Z,KCA,1,phoenix
SV 578 5th Avenue,SV-3,Tetrachloroethene,0.59699999999999998,3.6999999999999998E-2,4.05,0.25,2016-09-09T04:00:00Z,KCA,1,phoenix
